英語,品詞,意味
a,[冠],1つの，1人の
a.m.,[副],午前
aaahhh,[間],うわあ
able,[形],（～する）能力のある
Aboriginal,[形],アボリジニの
about,[前],～について → how
about,[副],およそ，約
above,[前],～より上に［へ］
abroad,[副],外国に［で］
according,[前],〔according to ～で〕～によると
across,[前],～を横切って
active,[形],活動している
activity,[名],活動
actor,[名],俳優
actress,[名],女優
actually,[副],実際は，じつは
Adams,[名],アダムズ（姓）
add,[動],～を加える
addition,[名],追加
address,[名],住所
admire,[動],～を賞賛する，崇拝する
Adolph,[名],『アドルフに告ぐ』
adult,[名] [形],大人（の）
adventure,[名],冒険
advice,[名],忠告，助言
afraid,[形],怖がって，恐れて
Africa,[名],アフリカ
after,[前],～のあとに
after,[前],毎～ → night
after,[前],～にちなんで
after,[接],～したあとに［で］
afternoon,[名],午後
again,[副],もう1度，ふたたび
against,[前],～に対抗して
Agatha,[名],アガサ（女の人の名）
age,[名],年齢，年
ago,[副],（今から）～前に
agree,[動],賛成する，同意する
ah,[間],〔驚きなどの声で〕あっ
air,[名],空気
airport,[名],空港
albatross,[名],アホウドリ
alive,[形],生きた状態で
all,[形],すべての，ずっと → day
all,[副],まったく，すっかり
all,[代],あらゆる人［もの］
Allie,[名],アリー（女の人の名）
almost,[副],ほとんど，もう少しで
along,[前],～に沿って
already,[副],もう，すでに
also,[副],～もまた
although,[接],～だけれども
always,[副],いつでも，常に
am,[動],（わたしは）～である，～です
am,[助],〔am ～ing で〕（わたしは）～している
am,[助],〔am ＋過去分詞形で受け身を表す〕
amazing,[形],驚くべき
America,[名],アメリカ合衆国
American,[形],アメリカ（人）の
among,[前],～の間で
an,[冠],1つの，1人の〔母音で始まる語の前で〕
ancestral,[形],先祖の
anchor,[名],ニュースキャスター
ancient,[形],古代の
and,[接],そして，～と～
and,[接],〔動詞を結んで〕
Andrew,[名],アンドリュー（男の人の名）
angry,[形],怒っている
animal,[名],動物
animated,[形],アニメの
animation,[名],アニメーション
anime,[名],アニメ
Annabel,[名],アナベル（女の人の名）
anniversary,[名],記念日，～周年
announcer,[名],アナウンサー
another,[形],もう1つの，別の
another,[代],別のもの［人］
answer,[動],（～に）答える
antarctic,[形],南極（圏）の
any,[形],〔疑問文で〕何か，いくつかの
any,[形],〔否定文で〕少しも，1つも
any,[形],〔通例肯定文で〕どれでも，どんな～でも
anymore,[副],〔否定文・疑問文で〕今ではもう～でない，もはや～でない
anyone,[代],だれでも
anything,[代],〔否定文で〕何も（～ない）
anything,[代],何でも
appear,[動],現れる
apple,[名],リンゴ
April,[名],4月
apron,[名],エプロン
aquarium,[名],水族館
are,[動],～である，～です
are,[動],～にいる，～にある
are,[助],〔are ～ing で〕～している
are,[助],〔are＋過去分詞形で受け身を表す〕
area,[名],地域，地方
aren't,,← are not
Arkansas,[名],アーカンソー州
arm,[名],腕，〔イカなどの〕触手
around,[前],～ぐらい，およそ～
around,[前],～の近くに
around,[前],～のあちこちを
around,[前],～のまわりに
around,[副],回って
arrive,[動],到着する
art,[名],美術（教科名）
art,[名],美術，芸術
article,[名],記事
as,[接],→ such
as,[接],（～する）ように
as,[副] [接],〔as ～ as ... で〕…と同じくらい～
as,[前],～として
Asia,[名],アジア
ask,[動],～に頼む
ask,[動],～にたずねる
asleep,[形],眠っている
Astro,[名],アトム（キャラクターの名前）
astronaut,[名],宇宙飛行士
at,[前],〔関連を示して〕～の点で，～に関して
at,[前],〔時・時刻を示して〕～（時）に
at,[前],〔方向・目標を示して〕～に向かって
at,[前],〔場所・位置を示して〕～で，～に
ate,[動],eat の過去形
athlete,[名],運動選手
attach,[動],～を添付する
attack,[動],～を攻撃する
attend,[動],～に出席する
attention,[名],注意，注目
attic,[名],屋根裏（部屋）
August,[名],8月
aunt,[名],おば
Australia,[名],オーストラリア
average,[形],平均の
away,[副],離れて
awesome,[形],すばらしい
baby,[名],赤ん坊
back,[副],（元のところに）戻って，帰って
back,[副],元の場所へ
back,[副],（返答・返信などを）返して
back,[名],背（中）
back,[名],後部，奥
bad,[形],悪い
badminton,[名],バドミントン
bag,[名],バッグ，かばん
bait,[名],（釣り針・わなにつける）えさ
baker,[名],パン屋
balance,[名],バランス
ball,[名],ボール
Bangladesh,[名],バングラデシュ
bank,[名],銀行
bark,[動],ほえる
baseball,[名],野球
basic,[形],基本的な
basketball,[名],バスケットボール
bath,[名],ふろ，入浴
bathhouse,[名],浴場
batter,[名],バッター
be,[動],～である，～になる，～にいる［ある］（am，are，is の原形）
beautiful,[形],美しい
beauty,[形],美容の
became,[動],become の過去形
because,[接],なぜなら～，～なので
Becky,[名],ベッキー（女の人の名）
become,[動],～になる
become,[動],become の過去分詞形
bed,[名],ベッド
bedtime,[名],就寝時間
beef,[名],牛肉
been,[動],be の過去分詞形
before,[前],〔時間〕～の前に
before,[副],以前に
began,[動],begin の過去形
begin,[動],（～を）始める
beginning,[名],始まり
behind,[前],～の後ろの［に］
believe,[動],～を信じる
bell,[名],鐘
below,[前],～より下に［へ］
belt,[名],ベルト
bench,[名],ベンチ，長いす
bento,[名],弁当
best,[名],〔手紙などで〕よろしくというあいさつ
best,[名],全力
best,[形],最もよい
best,[副],最もよく
better,[副],よりよい
between,[前],～の間に
Bhutan,[名],ブータン
big,[形],大きい
big,[形],たいへんな
bike,[名],自転車
Bill,[名],ビル（男の人の名）
bill,[名],紙幣
bird,[名],鳥
birthday,[名],誕生日
bitter,[形],苦い
black,[名] [形],黒色，黒い
blackboard,[名],黒板
blind,[形],目の不自由な
blindfold,[名],目隠し
blue,[名] [形],青色，青い
boat,[名],ボート
Bob,[名],ボブ（男の人の名）
bob,[動],口でくわえる
bomb,[名],爆弾
bomber,[名],爆撃機
book,[名],本
bookstore,[名],書店
boom,[名],ブーム
boomerang,[名],ブーメラン
bored,[形],退屈した
born,[動],〔be born で〕生まれる
borrow,[動],～を借りる
both,[代],両方
bottom,[名],底
bought,[動],buy の過去形
box,[名],箱
boy,[名],少年
brave,[形],勇敢な
bravely,[副],勇敢に
Brazil,[名],ブラジル
bread,[名],パン
break,[名],休み，休暇
break,[動],～を壊す，割る
breakfast,[名],朝食
bridge,[名],橋
bring,[動],～を持ってくる
broke,[動],break の過去形
broken,[動],break の過去分詞形
brother,[名],兄弟，兄，弟
brought,[動],bring の過去形
buffet,[名],ビュッフェ
build,[動],（機械類）を組み立てる
build,[動],～を建てる，（橋）をかける
building,[名],建物
built,[動],build の過去分詞形
burger,[名],ハンバーガー
bus,[名],バス
busy,[形],にぎやかな
busy,[形],忙しい
but,[接],しかし，ところが
butter,[名],バター
button,[名],ボタン
buy,[動],～を買う
by,[前],～のそばに［で，の］
by,[前],〔手段などを表して〕～によって
by,[前],～までに（は）
by,[前],〔受け身の文で行為者を表す〕～によって
cafeteria,[名],カフェテリア，食堂
cage,[名],おり
Cairns,[名],ケアンズ（オーストラリアの都市）
cake,[名],ケーキ
California,[名],カリフォルニア州（アメリカの1州）
call,[動],～を…と呼ぶ
call,[動],～に電話をかける
call,[動],大声で呼ぶ
calm,[動],～を静める，落ち着かせる
came,[動],come の過去形
camera,[名],カメラ
camp,[名],（捕虜などの）強制収容所
camp,[名],キャンプ
camping,[名],キャンプ
can,[助],～することができる
can,[助],〔許可を求めて Can I ～? で〕～してもいいですか。
can,[助],～することがある
can,[助],〔何かを申し出て Can I ～? で〕～しましょうか。
can,[名],缶
can't,,← cannot
Canada,[名],カナダ
candle,[名],ろうそく
candy,[名],キャンディ
cannot,,← can't
cap,[名],（縁なしの）帽子
captain,[名],キャプテン
captain,[名],船長
car,[名],自動車
car,[名],鉄道車両
care,[名],世話
careful,[形],注意深い，気をつける
carpenter,[名],大工
carpet,[名],じゅうたん
carry,[動],～を運ぶ
cartoonist,[名],マンガ家
case,[名],事件
case,[名],場合
castle,[名],城
cat,[名],ネコ
catch,[名],キャッチボール
catch,[動],～をつかまえる，捕らえる
catch,[動],～を引きつける
catch,[動],～を捕らえる
Catherine,[名],キャサリン（女の人の名）
Cathy,[名],キャシー（女の人の名）
cattle,[名],家畜
caught,[動],catch の過去形
caught,[動],catch の過去分詞形
cause,[名],原因
CD,[名],CD
cellphone,[名],携帯電話
cent,[名],セント
center,[名],（施設としての）センター
center,[名],（場所の）中央，まん中
champion,[名],優勝者
chance,[名],チャンス，好機
change,[動],乗り換える
change,[動],かわる，～をかえる
character,[名],登場人物
charge,[動],～を充電する
charity,[名],慈善，チャリティー
cheap,[形],安い
cheer,[動],声援する
cheer,[動],元気づける
cheese,[名],チーズ
cheeseburger,[名],チーズ・バーガー
chef,[名],シェフ，コック長
chest,[名],胸
chick,[名],ひな
child,[名],子ども
child-raising,[名],子育て
children,[名],child の複数形
China,[名],中国
Chinatown,[名],中華街
Chinese,[名],中国語［人］
Chinese,[形],中国の
chip,[名],（食べ物の）薄切り
chocolate,[名],チョコレート
choose,[動],～を選ぶ
Chris,[名],クリス（男の人の名）
Christmas,[名],クリスマス
church,[名],教会，聖堂
cinnamon,[名],シナモン
circle,[名],範囲，領域
city,[名],都市，市
city,[名],都会
class,[名],授業
classmate,[名],クラスメート，同級生
classroom,[名],教室
clean,[動],～を掃除する
clean,[形],きれいな，清潔な
clear,[形],はっきりした
clerk,[名],店員
climb,[動],～に登る
clock,[名],時計
close,[副],近くに
close,[動],～を閉じる
close,[形],〔空間・時間的に〕近い
clothes,[名],衣服
cloudy,[形],曇った
club,[名],クラブ，同好会
coat,[名],コート，上着
coffee,[名],コーヒー
cold,[形],寒い，冷たい
cold,[名],風邪
collect,[動],～を集める
collection,[名],収集
color,[名],色
colorful,[形],色とりどりの
come,[動],来る
comic,[形],マンガの
comic,[名],マンガ
common,[形],一般的な
communication,[名],コミュニケーション
community,[名],地域社会
company,[名],会社
compete,[動],競争する
competition,[名],競技会，コンテスト
computer,[名],コンピュータ
conceited,[形],うぬぼれた
concert,[名],コンサート
confused,[形],混乱した
connect,[動],～をつなぐ
continue,[動],～を続ける
convenience,[名],便利
cook,[動],（～を）料理する
cook,[名],料理人
cookie,[名],クッキー
cooking,[名],料理
cool,[形],かっこいい，すてきな
cool,[形],すずしい
corner,[名],かど
costume,[名],衣装
could,[助],〔Could you ～? で〕～してくださいますか。
could,[助],can の過去形
couldn't,,← could not
count,[動],（～を）数える
country,[名],国
country,[名],田園，いなか
courage,[名],勇気
course,[名],〔of course で〕もちろん
cousin,[名],いとこ
create,[動],～を創造する
creature,[名],生物
cry,[動],泣く
cuisine,[名],料理（法）
culture,[名],文化
cup,[名],カップ，茶わん
cure,[動],（人・病気）を治す
curry,[名],カレー
cut,[動],～を切る
cute,[形],かわいい
cycle,[名],周期
dad,[名],お父さん
daddy,[名],お父さん
daily,[形],毎日の
dance,[動],（～を）踊る
dance,[名],ダンス，踊り
dangerous,[形],危険な
dark,[形],暗い
darkness,[名],暗闇
darling,[名],いとし子
day,[名],日，1日 → each，every
dead,[形],死んだ
dear,[形],〔手紙の書き出しで〕親愛なる
dearest,[名],最愛の人
death,[名],死
Debbie,[名],デビー（女の人の名）
December,[名],12月
decide,[動],（～しようと）決心する
decision,[名],決断
deep,[形],深い
delicate,[形],（味などが）ほのかな
delicious,[形],おいしい
dentist,[名],歯科医
depth,[名],深さ，〔the をつけて〕深い所
design,[動],～を設計する
designer,[名],デザイナー
desk,[名],机
detective,[名],刑事
develop,[動],発達する
developed,[形],発達した
diary,[名],日記
dictionary,[名],辞書
did,[助] [動],do，does の過去形
didn't,,← did not
die,[動],死ぬ
different,[形],異なった
difficult,[形],難しい，困難な
difficulty,[名],困難
dig,[動],～を掘る
dinner,[名],ディナー（1日で最も主要な食事），夕食
dirty,[形],汚い
disappointed,[形],がっかりした
discover,[動],～を発見する
discussion,[名],討議，討論
disease,[名],（重度の）病気
dish,[名],料理
dish,[名],皿
distance,[名],距離
do,[動],〔疑問文に対する答えの文などで，同じ動詞を繰 り返す代わりに使う〕
do,[動],～をする，行う
do,[助],〔疑問文・否定文で〕
doctor,[名],医者，博士
doctor,[名],→ see
does,[助],〔疑問文・否定文で〕
doesn't,,← does not
dog,[名],イヌ
doll,[名],人形
dollar,[名],ドル
dolphin,[名],イルカ
don't,,← do not
donation,[名],寄付金
done,[動],do の過去分詞形
donkey,[名],ドンキー（ダブルダッチの技の名前）
door,[名],ドア，門戸
down,[副],〔動きを示して〕下に［へ］→ count，go，sit
down,[副],完全に，すっかり → melt
down,[前],～の下（方）へ［に］
Dr.（＝doctor）,[名],医者，博士
drank,[動],drink の過去形
draw,[動],（絵・円・マンガ）を描く
drawn,[動],draw の過去分詞形
dream,[名],夢
dream,[動],夢見る
dress,[名],衣装
drew,[動],draw の過去形
drink,[名],飲みもの
drink,[動],飲む
drugstore,[名],薬局
drum,[名],ドラム，太鼓
dry,[形],乾燥した，雨が少ない
dumpling,[名],団子
during,[前],～の間に
DVD,[名],DVD
dynamite,[名],ダイナマイト
each,[形],それぞれの
each,[代],それぞれ
eager,[形],熱心な
ear,[名],耳
early,[副],早く
earthquake,[名],地震
east,[名],〔通例 the ～で〕東，東方
easy,[形],やさしい，簡単な
eat,[動],（～を）食べる
eaten,[動],eat の過去分詞形
economy,[名],経済
education,[名],教育
educational,[形],教育的な
Edward,[名],エドワード（男の人の名）
effect,[名],影響
effort,[名],努力
egg,[名],卵
eight,[名] [形],8（の）
eighteen,[名] [形],18（の）
eighth,[名] [形],8日，8番め（の）
eighty,[名] [形],80（の）
either,[副],〔否定文のあとで〕～もまた（…ない）
elementary,[形],初等の
elephant,[名],ゾウ
eleven,[名] [形],11（の）
eleventh,[名] [形],11日，11番め（の）
Elizabeth,[名],エリザベス（女の人の名）
Ellie,[名],エリー（女の人の名）
elm,[名],楡
Elmore,[名],エルモア（地名）
else,[副],ほかの［に］→ something
email,[動],～にE メールを送る
email,[名],E メール
Emily,[名],エミリー（女の人の名）
Emma,[名],エマ（女の人の名）
emperor,[名],皇帝
empty,[形],空の
encourage,[動],～を勇気づける
end,[名],終わり，結末
end,[動],終わる
engineer,[名],技術者
England,[名],イングランド（イギリスの一部）
English,[名],英語
English,[形],英語の
enjoy,[動],～を楽しむ
enough,[形],十分な
enough,[代],十分な量［数］
enter,[動],～に入る，入学する
environment,[名],環境
episode,[名],～回の話，～話
erase,[動],～を消す
escape,[動],～から逃げる
especially,[副],特に
etc.（＝et cetera）,,～など
even,[副],～でさえ，～でも
evening,[名],夕方，晩
event,[名],イベント，行事
ever,[副],これまでに
ever,[副],〔否定を強めて〕絶対に，どんなことがあっても
every,[形],〔単数形の名詞につけて〕毎～，すべての
every,[形],～ごとに
everybody,[代],だれでも，あらゆる人
everyday,[形],毎日の
everyone,[代],みんな，だれでも
everything,[代],何もかも，何でもみんな
everywhere,[副],どこでも，いたるところで
evil,[形],邪悪な
exact,[形],正確な
exactly,[副],まさにそのとおりです
exam,[名],試験
example,[名],例
excited,[形],興奮した，わくわくした
exciting,[形],わくわくさせる，おもしろい
excuse,[動],～を許す
exhibition,[名],展示
expensive,[形],高価な
experience,[動],～を経験する，～を体験する
experience,[名],経験，体験
explain,[動],～を説明する
expression,[名],表現
extremely,[副],極めて
eye,[名],目
eyesight,[名],視力
face,[名],顔
face,[動],～に立ち向かう
fact,[名],事実
factory,[名],工場
fairy,[名],妖精
fall,[名],秋
fall,[動],落ちる
fall,[動],（ある状態に）なる
family,[名],家族
famous,[形],有名な
fan,[名],ファン
far,[形],（距離が）遠い
farmer,[名],農民，農場主
fascinate,[動],～を魅了する
fast,[副],速く
fast,[形],速い，高速の
fast,[動],絶食する
fasting,[名],断食
father,[名],父
fault,[名],短所，誤り
favorite,[形],お気に入りの，大好きな
feather,[名],羽
February,[名],2月
feel,[動],〔feel＋形容詞で〕～と感じる
feel,[動],～を感じる
feeling,[名],感情，気持ち
feet,[名],foot の複数形
fell,[動],fall の過去形
felt,[動],feel の過去形
female,[形],女性の
ferret,[名],フェレット
festival,[名],祭り
fever,[名],熱
few,[形],ほとんど～ない
field,[名],競技場，球場
fifteen,[名] [形],15（の）
fifth,[名] [形],5日，5番め（の）
fifty,[名] [形],50（の）
fight,[動],戦う
fight,[名],戦い
figure,[動],～と思う
figure,[名],図表
film,[動],～を撮影する
final,[名],決勝戦
finally,[副],最終的に，最後に，ついに
find,[動],～を見つける
fine,[形],けっこうな，申し分のない
finish,[動],～を終える
Finland,[名],フィンランド
Finnish,[形],フィンランド（人）の
fire,[名],火，火災
first,[名] [形],1日，1番め（の），最初の
first,[副],まず第1に，最初に
fish,[名],魚
fisherman,[名],漁師
fishermen,[名],fisherman の複数形
fishing,[名],つり → go
five,[名] [形],5（の）
flame,[名],炎
floor,[名],床
flour,[名],小麦粉
flower,[名],花，草花
fluently,[形],流ちょうに
fly,[動],飛ぶ
folk,[形],民族の，伝統的な
follow,[動],～に従う
follow,[動],～のあとについて行く
food,[名],食品，食べもの
foot,[名],足
foot,[名],〔長さの単位，1フィートは約30.48cm〕
football,[名],フットボール，〔イギリスで〕サッカー
for,[前],〔目的〕～のために［の］
for,[前],～に関して
for,[前],〔理由〕～で，～のために
for,[前],〔方向〕～に向かって
for,[前],〔期間〕～の間
for,[前],～にとって
for,[前],～用の
for,[前],～を求めて
force,[動],～を強制する
forced,[形],強制された
foreign,[形],外国の
forever,[副],永遠に
forget,[動],（～を）忘れる
fork,[名],フォーク
form,[動],～を結成する
forty,[名] [形],40（の）
forward,[副],〔時間的に〕先に，将来に
found,[動],find の過去形
found,[動],～を創設する
four,[名] [形],4（の）
four-holed,[形],4個穴のあいた
fourteen,[名] [形],14（の）
fourth,[名] [形],4日，4番め（の）
France,[名],フランス
free,[形],（時間が）自由な，空いている，（人が）ひまな
free,[動],解放する，自由にする
French,[形],フランス語の
Friday,[名],金曜日
friend,[名],友だち
friendly,[形],人なつこい，気さくな
Frog,[名],〔物語の主人公の名〕カエルくん
from,[前],〔出所〕～から，～出身の
from,[前],〔判断の根拠〕～から見て
from,[前],〔場所〕～から
from,[前],〔時間〕～から
from,[前],〔原料・材料〕～から
front,[形],前の，正面の
front,[名],前方，正面
fruit,[名],くだもの
frustrated,[形],フラストレーションを感じて，ストレスがたまった
full,[形],いっぱいの，満腹で
fun,[名],楽しさ，おもしろさ
fun,[形],楽しみをあたえてくれる
funny,[形],おもしろい
future,[名],未来
game,[名],試合
game,[名],ゲーム，遊び
garden,[名],庭，〔しばしば～s で〕公園
gate,[名],門
gather,[動],集まる
gave,[動],give の過去形
