英語,品詞,意味
project,[名],プロジェクト
protect,[動],～を保護する
proud,[形],誇りをもっている
public,[形],公共の
publish,[動],～を出版する
puppy,[名],子犬
put,[動],～を置く
put,[動],put の過去形
question,[名],質問，問い
question,[動],～に質問する
quickly,[副],急いで，速く
quiet,[形],静かな
quite,[副],かなり
rabbit,[名],ウサギ
raccoon,[名],アライグマ
racket,[名],ラケット
radio,[名],ラジオ
rain,[動],雨が降る
rainwater,[名],雨水
rainy,[形],雨降りの
raise,[動],～を育てる
rating,[名],（テレビの）視聴率
reach,[動],～に達する
react,[動],反応する
read,[動],（～を）読む
read,[動],read の過去形
read,[動],read の過去分詞形
reader,[名],読者
realize,[動],～を実現する
really,[副],本当に
reason,[名],理由
rebuild,[動],～を再建する
receive,[動],～を受け取る
recently,[副],最近
recipe,[名],料理法，レシピ
recommend,[動],～を勧める
recycle,[動],～を再利用する
red,[名] [形],赤色，赤い
reef,[名],礁
refreshed,[形],気分がすっきりして
regular,[形],通常の
relative,[名],親類
remember,[動],～を思い出す，覚えている
remind,[動],思い出させる
repair,[動],～を修理する
report,[名],報告書，レポート
report,[動],報告する
reproach,[名],非難
researcher,[名],研究者
resource,[名],資源
respect,[動],～を尊敬する
respond,[動],答える
rest,[動],休憩する
restaurant,[名],レストラン
return,[動],～を戻す，返す
rice,[名],米，ごはん
rich,[形],金持ちの，豊かな
ride,[動],～に乗る
ride,[名],（乗りものに）乗ること
right,[名],右，右側
right,[形],正しい，まちがいない，よい
right,[副],右に［へ］→ turn
right,[副],ちょうど，まさに
right,[副],まっすぐに
river,[名],川
road,[名],道，道路
roast,[形],ローストした，焼いた
Robert,[名],ロバート（男の人の名）
robot,[名],ロボット
roll,[動],巻く
Ron,[名],ロン（男の人の名）
Ronald,[名],ロナルド（男の人の名）
room,[名],部屋
rope,[名],ロープ，なわ
rose,[名],バラ
round,[形],丸い
round,[名],（試合などの）～回戦
rugby,[名],ラグビー
rule,[名],規則，規定
run,[動],走る
Russia,[名],ロシア
sad,[形],悲しい
safe,[名],金庫
safe,[形],安全な
said,[動],say の過去形
sailing,[名],航海（術）
sailor,[名],船乗り
salad,[名],サラダ
salt,[名],塩
salty,[形],塩辛い
Sam,[名],サム（男の人の名）
same,[形],同じ
sandwich,[名],サンドイッチ
sang,[動],sing の過去形
Sara,[名],サラ（女の人の名）
sat,[動],sit の過去形
Saturday,[名],土曜日
save,[動],～をとっておく
save,[動],～を救う
saw,[動],see の過去形
say,[動],～と書いてある
say,[動],～と［を］言う
scare,[動],～を怖がらせる
school,[名],学校，授業 → after
schoolyard,[名],校庭
science,[名],理科（教科名），科学
scientist,[名],科学者
scold,[動],～をしかる
scone,[名],スコーン
screen,[名],画面，スクリーン
sea,[名],〔the をつけて〕海
season,[名],季節
second,[名] [形],2日，2番め（の）
second,[副],第2に，次に
see,[動],～を見る，～が見える
see,[動],（～を）理解する，わかる
see,[動],～に会う
see,[動],（医者に）診てもらう
seed,[名],種
seen,[動],see の過去分詞形
selfish,[形],利己的な
sell,[動],～を売る
send,[動],～を送る
Senegal,[名],セネガル
sense,[名],感覚
sent,[動],send の過去分詞形
September,[名],9月
serious,[形],〔病気・けがが〕重い，深刻な
serve,[動],（食事・飲みもの）を出す
server,[名],（レストランの）給仕係
service,[名],礼拝
set,[動],～を（動かないように）置く，設置する
set,[動],始める，取りかかる
setting,[名],環境
seven,[名] [形],7（の）
seventeen,[名] [形],17（の）
seventeenth,[名] [形],17日，17番め（の）
seventh,[名] [形],7日，7番め（の）
seventy,[名] [形],70（の）
several,[形],いくつかの
sew,[動],～を縫う，縫いつける
shall,[助],～でしょう
share,[動],～を共有する
shark,[名],サメ
she,[代],彼女は［が］
she's,,← she is
shine,[動],輝く
ship,[名],船
shirt,[名],シャツ
shock,[動],〔be shocked で〕ショックを受ける
shoe,[名],靴
shoot,[動],～を撃つ
shop,[名],店
shopping,[名],買いもの → go
short,[形],短い
short,[形],背が低い
shortcoming,[名],欠点
shot,[動],shoot の過去分詞形
should,[助],～すべきである，したほうがよい
show,[名],ショー，テレビ番組
show,[動],～を示す，見せる，教える
shown,[動],show の過去分詞形
shy,[形],恥ずかしがりの
sick,[形],病気の
sign,[名],看板，標識
silver,[形],銀（色の）
simple,[形],単純な
since,[前],～以来
since,[接],～して以来
sing,[動],（～を）歌う
Singapore,[名],シンガポール
sink,[名],洗面台
sink,[動],～を沈める
sir,[名],〔男性に対する敬称，または改まった呼びかけ〕～さん
sister,[名],姉妹，姉，妹
sit,[動],すわる
situation,[名],状況
six,[名] [形],6（の）
sixteen,[名] [形],16（の）
sixth,[名] [形],6日，6番め（の）
sixty,[名] [形],60（の）
skate,[動],スケートをする
sketch,[動],～を写生する
ski,[動],スキーをする
skier,[名],スキーヤー
skiing,[名],スキー
skill,[名],技能
skillful,[形],熟練した
skin,[名],肌
sky,[名],空
sleep,[動],眠る，寝る
sleepy,[形],眠い
sleeve,[名],袖
slow,[形],遅い
small,[形],小さい
smart,[形],賢い
smile,[名],笑顔
snack,[名],軽食
snow,[名],雪
snowboarding,[名],スノーボード
snowy,[形],雪の降る
so,[副],そんなに，とても
so,[副],そう，そのように
so,[接],それで，だから
so,[接],〔相手の発言を受けて〕じゃあ，そうか
soccer,[名],サッカー
Sofia,[名],ソフィア（女の人の名）
soft,[形],柔らかい
softball,[名],ソフトボール
sold,[動],sell の過去分詞形
soldier,[名],兵士
solve,[動],～を解決する
some,[形],〔数や量を示して〕いくつかの，いくらかの
some,[形],なかには～もある
some,[代],何人［何匹］か，いくつか，いくらか
someday,[副],いつか
somehow,[副],どうにか
someone,[代],だれか，ある人
something,[代],何か，あるもの
sometimes,[副],ときどき
song,[名],歌
soon,[副],すぐに，じきに
sorry,[間],すみません
sound,[動],〔sound ＋形容詞で〕～に聞こえる，思える
sound,[名],音
sour,[形],すっぱい
south,[名],〔通例 the ～で〕南，南方
spaghetti,[名],スパゲッティ
sparrow,[名],スズメ
speak,[動],（～を）話す
special,[形],特別な
species,[名],種
speech,[名],スピーチ，演説
spend,[動],（～を）過ごす
spirit,[名],霊，精霊
spirit,[名],精神，心
spiritually,[副],精神的に
spoke,[動],speak の過去形
spoken,[動],speak の過去分詞形
sport,[名],スポーツ
spread,[動],～が広がる
spring,[名],春
square,[形],正方形の
squid,[名],イカ
stadium,[名],競技場，スタジアム
stage,[名],ステージ，舞台
stamp,[名],切手
stand,[動],立つ，起立する
stand,[名],屋台
star,[名],星
star,[名],スター，主演俳優
star-shaped,[形],星形の
start,[動],始まる
start,[動],～を始める
start,[名],始まり
station,[名],駅
statue,[名],像
stay,[名],滞在
stay,[動],滞在する，とどまる
steal,[動],～を盗む
step,[名],（階段などの）段
step,[名],段階
still,[副],まだ，依然として
still,[副],それでも
stole,[動],steal の過去形
stomachache,[名],胃痛
stone,[名],石
stood,[動],stand の過去形
stop,[動],止まる
stop,[動],～を止める
store,[名],店
story,[名],物語
story,[名],報告，記事
straight,[副],まっすぐ
strange,[形],奇妙な，不思議な
street,[名],通り
strong,[形],力強い，丈夫な
strong,[形],強力な，（影響力が）多大な
student,[名],生徒，学生
study,[動],（～を）勉強する，研究する
style,[名],様式，やり方
subject,[名],教科
submersible,[名],潜水艇
subway,[名],地下鉄
success,[名],成功
successful,[形],成功した
successfully,[副],首尾よく
such,[形],そのような，そんな
suddenly,[副],突然に
Sue,[名],スー（女の人の名）
sugar,[名],砂糖
suit,[名],（ある目的のための）衣服
summer,[名],夏
sun,[名],太陽
Sunday,[名],日曜日
sunflower,[名],ひまわり
sunny,[形],晴れた
supermarket,[名],スーパーマーケット
support,[名],支援
sure,[形],確信して
sure,[副],〔返事で〕もちろん
surface,[名],表面
surprised,[形],驚いた
surprising,[形],驚くべき
survey,[名],調査
survive,[動],生き延びる
Susan,[名],スーザン（女の人の名）
suspicious,[形],疑いを示す
Suzanna,[名],スザンナ（女の人の名）
swam,[動],swim の過去形
sweater,[名],セーター
Sweden,[名],スウェーデン
Swedish,[形],スウェーデンの
sweep,[動],～を掃く
sweet,[形],思いやりのある，かわいらしい
sweet,[形],甘い
sweet,[名],〔複数形で〕（甘い）菓子
swim,[動],泳ぐ
swimming,[名],水泳
Sydney,[名],シドニー（オーストラリアの都市）
symbol,[名],象徴，シンボル
system,[名],装置，システム
table,[名],テーブル
tablet,[名],（石などの）平板
tackle,[動],～に取り組む
take,[動],（ふろ）に入る → bath
take,[動],～を持って行く，つれて行く
take,[動],（写真・ビデオ）を撮る
take,[動],（時間）がかかる
take,[動],（乗りもの）に乗って行く
take,[動],～を取る
take,[動],（注文）を受ける
take,[動],（道など）を取って進む
taken,[動],take の過去分詞形
talent,[名],才能
talk,[動],話す，しゃべる
tall,[形],（建物などが）高い
tank,[名],槽，タンク
Tao,[名],タオ（男の人の名）
taste,[名],味
taught,[動],teach の過去形
tea,[名],お茶，紅茶
teach,[動],～を教える
teacher,[名],先生，教師
team,[名],チーム
teammate,[名],チームの一員
tease,[動],～をからかう
technique,[名],技術，技
Ted,[名],テッド（男の人の名）
tell,[動],～に話す，知らせる
tell,[動],〔tell ～ about ... で〕～に…について話す
tell,[動],〔tell ～ to ... で〕～に…するように命じる，言う
temple,[名],寺
ten,[名] [形],10（の）
tennis,[名],テニス
tent,[名],テント
tenth,[名] [形],10日，10番め（の）
terrible,[形],きわめてひどい，ひどく悪い
terror,[名],恐怖
test,[名],試験
textbook,[名],教科書，教本
Thailand,[名],タイ
than,[前],～よりも
thank,[動],～に感謝する
thank,[名],Thanks. ありがとう。
thankful,[形],感謝している
that,[代],〔離れたところの人をさして〕あの人
that,[代],〔離れたところのものをさして〕あれ，それ
that,[代],〔前に述べたもの［こと］をさして〕それ
that,[代],〔反復の代用語として〕それ
that,[代],〔情報をつけ加えるとき〕（関係代名詞）
that,[形],あの，その
that,[接],～ということ
that's,,← that is
the,[冠],その〔相手にはっきりわかるものや，前に出た名詞をくり返すときにつける〕
the,[冠],〔楽器の前に〕
the,[冠],〔チーム名に〕
the,[冠],〔固有名詞とともに〕
the,[冠],〔same や first，last などの前に〕
the,[冠],〔形容詞などの最上級の前に〕
their,[代],それらの，彼らの，彼女らの
theirs,[代],それらのもの，彼らのもの，彼女らのもの
them,[代],彼らを［に］，彼女らを［に］，それらを［に］
themselves,[代],それら自身，彼ら自身，彼女ら自身
then,[副],そのときに
then,[副],それから，その後
then,[副],それでは，それじゃ
there,[副],そこに［で］，そこへ
there,[副],〔There is [are] ～で〕～がいる［ある］
there's,,← there is
these,[形],これらの
these,[代],これら
they,[代],彼らは［が］，彼女らは［が］，それらは［が］
they'll,,← they will
they're,,← they are
thing,[名],もの，こと
think,[動],（～と）思う，考える
thinking,[名],考え，意見
third,[名] [形],3日，3番め（の）
thirsty,[形],のどが渇いた
thirteen,[名] [形],13（の）
thirteenth,[名] [形],13日，13番め（の）
thirtieth,[名] [形],30日，30番め（の）
thirty,[名] [形],30（の）
this,[代],〔近くのものをさして〕これ
this,[代],〔近くの人をさして〕こちら，この人
this,[代],〔電話などで〕こちら（話している本人）
this,[代],これ，このこと
this,[形],この
those,[形],〔that の複数形〕それらの，あれらの
those,[代],それら［あれら］のもの［人］
though,[接],～にもかかわらず
thought,[動],think の過去形
thought,[名],考え
thousand,[名] [形],1000（の）
three,[名] [形],3（の）
thrilled,[形],（～で）ぞくぞくして
through,[前],～を通して
throw,[動],～を投げる
Thursday,[名],木曜日
ticket,[名],チケット，切符
tie,[名],きずな，つながり
tiger,[名],トラ
time,[名],時間，時期
time,[名],期間，間
time,[名],～回，～度
tired,[形],疲れた
to,[前],〔to＋動詞の原形で「～するために」「～して」「～するのに」〕→ nice
to,[前],〔方向・到着点を示して〕～に［へ］
to,[前],～まで
to,[前],〔動作の対象を示して〕～に
to,[前],〔to＋動詞の原形で「～すること」〕
to,[前],〔to＋動詞の原形で「～する（ための），～すべき」〕
Toad,[名],〔物語の登場人物の名〕ガマくん
today,[副],今日（は）
today,[副],現在（で）は
today,[名],今日
today,[名],現代，こんにち
together,[副],いっしょに
toilet,[名],トイレ
told,[動],tell の過去形
Tom,[名],トム（男の人の名）
tomorrow,[副],あした
tonight,[副],今夜
too,[副],～も（また）
too,[副],あまりに
took,[動],take の過去形
toolbox,[名],道具箱
top,[名],てっぺん，上
top,[形],上位の
toss,[動],ほうり上げる
touch,[名],連絡，接触
tour,[名],ツアー，巡業
tourists,[名],観光客
tower,[名],塔
town,[名],町
toy,[名],おもちゃ
tradition,[名],伝統
traditional,[形],伝統的な
train,[名],列車，電車
trainer,[名],トレーナー，コーチ
training,[名],訓練
translate,[動],～を翻訳する
travel,[動],～を旅行する
treat,[名],もてなし，ごちそう
tree,[名],木，樹木
trick,[名],いたずら，悪ふざけ
trip,[名],旅行
tropical,[形],熱帯（地方）の
trouble,[名],迷惑，やっかい
trumpet,[名],トランペット
truth,[名],真実
try,[動],（～を）試す
try,[動],～しようとする
Tube,[名],〔the をつけて〕（ロンドンの）地下鉄
Tuesday,[名],火曜日
turkey,[名],七面鳥
turn,[名],順番，番
turn,[動],曲がる
turn,[動],～をかえる
turn,[動],向きをかえる
turn,[動],～を回転させる，回す
turtle,[名],カメ
TV,[名],テレビ
twelfth,[名] [形],12日，12番め（の）
twelve,[名] [形],12（の）
twentieth,[名] [形],20日，20番め（の）
twenty,[名] [形],20（の）
twenty-first,[名] [形],21日，21番め（の）
twice,[副],2度
two,[名] [形],2（の）
U.K.（＝United Kingdom）,[名],〔theをつけて〕イギリス
U.S.（＝United States）,[名],〔the をつけて〕（アメリカ）合衆国
Uganda,[名],ウガンダ
um,[間],えーと
umami,[名],うま味
umbrella,[名],傘
unbelievable,[形],信じられない（ほどの）
uncle,[名],おじ
under,[前],～の（真）下の［に］
understand,[動],～を理解する
understood,[動],understand の過去形
underwear,[名],下着
unicycle,[名],一輪車
uniform,[名],ユニフォーム，制服
unite,[動],～を一体にする
unity,[名],1つであること
until,[前],～まで
up,[副],〔動きを示して〕上に［へ］→ get
up,[副],（時間が）終わって
up,[前],～の上方に［へ］
upper,[形],さらに上の，高い方の
upset,[形],取り乱している，怒った
us,[代],わたしたちを［に］
USA,[名],〔the をつけて〕アメリカ合衆国＝United States of America
use,[動],～を使う
use,[名],使用
used,[動],〔used to ～で〕かつて～だった，よく～したものだ
used,[形],慣れている
useful,[形],役立つ
usually,[副],ふだん，ふつう
vacation,[名],休暇
vampire,[名],吸血鬼
variety,[名],バラエティー，変化（に富むこと）
various,[形],いろいろな
vegetable,[名],野菜
very,[副],とても，ひじょうに
video,[名],（テレビの）映像
Vietnam,[名],ベトナム
Vietnamese,[形],ベトナム（人）の
viewer,[名],視聴者
violin,[名],バイオリン
visit,[動],～を訪れる，訪ねる
visitor,[名],訪問者，滞在客
voice,[名],声
volleyball,[名],バレーボール
volunteer,[名],ボランティア
wagon,[名],荷馬車
wait,[動],待つ
wake,[動],（人）を起こす
walk,[名],散歩
walk,[動],歩く
walk,[動],～を散歩させる
walker,[名],散歩する人→ puppy
wall,[名],壁
want,[動],～がほしい
want,[動],〔want to ～で〕～したい
want,[動],（人に）～してもらいたい
war,[名],戦争
warm,[形],暖かい
warm,[動],～を温める
warmly,[副],温かく
was,[動] [助],am，is の過去形
was,[動] [助],〔was ～ing で〕～していた
was,[動] [助],〔was ＋過去分詞形で受け身を表す〕
wash,[動],～を洗う
wasn't,,← was not
waste,[形],廃棄の
watch,[名],腕時計
watch,[動],～を見る
water,[名],水
water,[名],水位，水面
waterproof,[形],防水の
Watson,[名],ワトソン（姓）
way,[名],方法，やり方
way,[名],道，通り道
we,[代],わたしたちは［が］
we'd,,← we would
we'll,,← we will
we're,,← we are
we've,,← we have
weak,[形],弱い
wear,[動],～を着る，身につける
wearable,[形],着用できる
weather,[名],天気，天候
website,[名],ウェブサイト，ホームページ
Wednesday,[名],水曜日
week,[名],週
weekend,[名],週末
welcome,[間],ようこそ
welcome,[形],歓迎される
welcome,[動],～を歓迎する
well,[副],上手に，うまく
well,[副],よく
well,[間],そうですね，えーと，さて
well,[形],健康で
well,[名],井戸
went,[動],go の過去形
were,[動] [助],are の過去形
were,[動] [助],〔were ～ing で〕～していた
were,[動] [助],〔were ＋過去分詞形で受け身を表す〕
weren't,,← were not
West,[名],ウェスト（姓）
west,[名],〔通例 the ～で〕西，西方
what,[代],何，どんなもの［こと］
what,[形],何の，どんな
what,[間],〔驚きなどで〕何だって
what's,,← what is
when,[副],いつ
when,[接],～（する）とき，～（した）とき
where,[副],どこに［で］
which,[代],どちら，どれ
which,[代],〔情報をつけ加えるとき〕（関係代名詞）
which,[形],どちらの，どの
while,[接],～する間に
white,[名] [形],白色，白い
white,[形],白人の
White,[名],ホワイト（姓）
Whitfield,[名],ホイットフィールド（姓）
who,[代],だれ，どんな人
who,[代],〔情報をつけ加えるとき〕（関係代名詞）
who's,,← who is
whose,[代],だれの
why,[副],なぜ，どうして
wild,[形],野生の
will,[助],～するつもりです
will,[助],～でしょう
win,[動],勝つ
window,[名],窓
winter,[名],冬
wish,[名],願い
witch,[名],女の魔法使い
with,[前],～と（いっしょに）
with,[前],～を使って，～で
with,[前],～を持って，～のついた
with,[前],～に関して
with,[前],～について
with,[前],〔様態〕～を示して，～をもって
without,[前],～のない，～なしに
woman,[名],女の人
women,[名],woman の複数形
won,[動],win の過去形
won't,,← will not
wonder,[動],～をふしぎに思う
wonderful,[形],すばらしい
wood,[名],〔しばしば woods で〕森
word,[名],語，ことば
work,[動],働く，努力する
work,[名],仕事
work,[名],作品
worker,[名],労働者
workshop,[名],ワークショップ，研修会
world,[名],〔the をつけて〕世界
worldwide,[形],世界的な
worry,[動],心配する
would,[助],→ like
would,[助],will の過去形
wow,[間],うわ，わあ（喜びなどの叫び）
wreck,[動],～を難破させる
write,[動],～を書く
written,[動],write の過去分詞形
wrong,[形],調子が悪い
wrote,[動],write の過去形
yard,[名],中庭，庭，囲い地
yeah,,#NAME?
year,[名],年，1年
yellow,[名] [形],黄色，黄色い
yen,[名],円
yes,[副],〔返事で〕はい
yesterday,[副],昨日
yesterday,[名],昨日
yet,[接],けれども
yet,[副],〔否定文で〕まだ（～ない）
yogurt,[名],ヨーグルト
you,[代],あなたに［を］
you,[代],あなたは［が］
you,[代],あなたたちは［が］
you,[代],あなたたちに［を］
you'll,,← you will
you're,,← you are
young,[形],若い
your,[代],あなたの
your,[代],あなたたちの
yours,[代],あなたのもの
yours,[代],"〔通例 Yours, で手紙の結びのことば〕敬具"
yourself,[代],あなた自身
yum,[間],おいしい
Zambia,[名],ザンビア
zero,[名] [形],ゼロ（の），零（の）
zoo,[名],動物園
zookeeper,[名],動物園の飼育係